624, 2448, 29355.000000,0.011169
664, 2751, 28644.000000,0.010899
676, 679, 36089.000000,0.013732
824, 2815, 56003.000000,0.021309
824, 3061, 52766.000000,0.020077
824, 1134, 33333.000000,0.012683
824, 2255, 27418.000000,0.010432
824, 2010, 33365.000000,0.012695
824, 3354, 32313.000000,0.012295
824, 2009, 28550.000000,0.010863
863, 1935, 39211.000000,0.014920
863, 2087, 27705.000000,0.010542
863, 2803, 57483.000000,0.021872
863, 1936, 48518.000000,0.018461
863, 1957, 42980.000000,0.016354
863, 2030, 47274.000000,0.017987
863, 2448, 49740.000000,0.018926
863, 2541, 61504.000000,0.023402
863, 2936, 55602.000000,0.021156
863, 3056, 58323.000000,0.022191
863, 3452, 53720.000000,0.020440
863, 2428, 30817.000000,0.011726
863, 3510, 26632.000000,0.010133
864, 2736, 44685.000000,0.017002
864, 1466, 29558.000000,0.011247
864, 1954, 27852.000000,0.010597
864, 2196, 31152.000000,0.011853
864, 3387, 34609.000000,0.013168
883, 2997, 42820.000000,0.016293
883, 3083, 36263.000000,0.013798
883, 1116, 27330.000000,0.010399
884, 1365, 27384.000000,0.010419
896, 3020, 42909.000000,0.016327
955, 1224, 29614.000000,0.011268
980, 994, 26559.000000,0.010106
981, 984, 31811.000000,0.012104
981, 1862, 29540.000000,0.011240
982, 1780, 37743.000000,0.014361
982, 1778, 33668.000000,0.012810
1028, 1153, 39567.000000,0.015055
1046, 1249, 38686.000000,0.014720
1046, 3559, 44827.000000,0.017056
1046, 1499, 33246.000000,0.012650
1048, 1501, 27157.000000,0.010333
1074, 2699, 28811.000000,0.010962
1116, 2998, 50225.000000,0.019110
1116, 3001, 38732.000000,0.014737
1116, 3084, 46318.000000,0.017624
1116, 2997, 35386.000000,0.013464
1116, 3083, 31855.000000,0.012121
1116, 1117, 30330.000000,0.011540
1116, 1118, 35369.000000,0.013458
1116, 1119, 32984.000000,0.012550
1116, 2999, 35001.000000,0.013318
1116, 3000, 35532.000000,0.013520
1116, 3085, 29016.000000,0.011040
1116, 3086, 28313.000000,0.010773
1116, 3087, 37926.000000,0.014431
1117, 1119, 27868.000000,0.010604
1117, 2997, 30662.000000,0.011667
1117, 2999, 49599.000000,0.018872
1117, 3001, 28430.000000,0.010817
1117, 3083, 27912.000000,0.010620
1117, 3085, 38323.000000,0.014582
1117, 3087, 28769.000000,0.010946
1117, 2998, 27916.000000,0.010622
1117, 3084, 31787.000000,0.012095
1118, 1119, 31426.000000,0.011957
1118, 3000, 46602.000000,0.017732
1118, 3001, 36386.000000,0.013845
1118, 3086, 38173.000000,0.014525
1118, 3087, 34198.000000,0.013012
1118, 2997, 29495.000000,0.011223
1118, 2998, 27001.000000,0.010274
1118, 2999, 27162.000000,0.010335
1118, 3084, 26581.000000,0.010114
1119, 2997, 30381.000000,0.011560
1119, 2999, 29717.000000,0.011307
1119, 3000, 31621.000000,0.012032
1119, 3001, 49124.000000,0.018691
1119, 3087, 39595.000000,0.015066
1119, 2998, 29009.000000,0.011038
1119, 3084, 28133.000000,0.010704
1134, 2815, 39658.000000,0.015090
1134, 3354, 50970.000000,0.019394
1134, 1920, 34233.000000,0.013025
1134, 2255, 30336.000000,0.011543
1134, 2380, 39241.000000,0.014931
1134, 3061, 31558.000000,0.012008
1134, 3321, 26560.000000,0.010106
1134, 3347, 31392.000000,0.011944
1134, 3348, 64723.000000,0.024627
1134, 1135, 27917.000000,0.010622
1134, 2009, 44215.000000,0.016823
1134, 2010, 48834.000000,0.018581
1134, 2030, 27772.000000,0.010567
1134, 2448, 32790.000000,0.012476
1134, 1940, 30363.000000,0.011553
1153, 1862, 38701.000000,0.014725
1213, 1221, 33352.000000,0.012690
1214, 1222, 34484.000000,0.013121
1215, 1223, 36728.000000,0.013975
1216, 1224, 37738.000000,0.014359
1217, 1225, 32865.000000,0.012505
1218, 1226, 40569.000000,0.015436
1219, 2329, 28917.000000,0.011003
1221, 1557, 29406.000000,0.011189
1226, 2330, 30126.000000,0.011463
1239, 1365, 33944.000000,0.012915
1249, 3559, 30947.000000,0.011775
1249, 1499, 36306.000000,0.013814
1251, 1501, 26442.000000,0.010061
1299, 2488, 26572.000000,0.010110
1299, 3159, 28006.000000,0.010656
1320, 2591, 28264.000000,0.010754
1365, 2997, 26681.000000,0.010152
1434, 3119, 29252.000000,0.011130
1436, 1467, 31353.000000,0.011930
1436, 2195, 48281.000000,0.018371
1436, 2280, 39096.000000,0.014876
1436, 2734, 33910.000000,0.012903
1436, 3414, 42469.000000,0.016159
1441, 3346, 41818.000000,0.015911
1443, 1863, 34103.000000,0.012976
1453, 1454, 28683.000000,0.010914
1455, 2451, 30127.000000,0.011463
1466, 1954, 43132.000000,0.016411
1466, 2196, 44532.000000,0.016944
1466, 2736, 32999.000000,0.012556
1466, 3387, 37585.000000,0.014301
1467, 2195, 31930.000000,0.012149
1467, 2280, 43599.000000,0.016589
1467, 2734, 47790.000000,0.018184
1467, 3414, 40634.000000,0.015461
1499, 3559, 27630.000000,0.010513
1507, 2269, 42225.000000,0.016066
1507, 2472, 34970.000000,0.013306
1507, 3381, 29254.000000,0.011131
1507, 3383, 38140.000000,0.014512
1778, 1808, 46759.000000,0.017791
1778, 1809, 35043.000000,0.013334
1778, 1811, 46176.000000,0.017570
1778, 1780, 62030.000000,0.023602
1778, 2056, 30137.000000,0.011467
1778, 2058, 44050.000000,0.016761
1778, 2065, 41939.000000,0.015957
1778, 1802, 43309.000000,0.016479
1780, 1808, 41244.000000,0.015693
1780, 1811, 35154.000000,0.013376
1780, 2058, 27396.000000,0.010424
1780, 2065, 30085.000000,0.011447
1780, 1802, 33321.000000,0.012678
1802, 1808, 35679.000000,0.013576
1802, 1811, 37516.000000,0.014275
1802, 2058, 31720.000000,0.012069
1802, 2065, 46810.000000,0.017811
1803, 1897, 34454.000000,0.013110
1803, 2640, 29299.000000,0.011148
1808, 1811, 39497.000000,0.015028
1808, 2056, 35038.000000,0.013332
1808, 2058, 33223.000000,0.012641
1808, 2065, 27274.000000,0.010378
1811, 2058, 46863.000000,0.017831
1811, 2065, 31471.000000,0.011974
